Year,Construction_A,Construction_D,Furniture_A,Furniture_D,Newsprint_A,Newsprint_D,Printing_Writing_A,Printing_Writing_D,Other_A,Other_D
2008,114998537627,1279945151,363843301606,6954093406,1672103985,693671633,13451732686,2340886095,19084370656,5794891033
2009,124268452675,1296744215,372471168238,6959626695,1785784296,755028843,14492170769,2543144152,20980798087,6387263265
2010,133803778601,1313627206,384360211127,6964856110,1888379125,795675963,15505286807,2745140705,22906085723,7012265004
2011,147136495625,1330487213,396804990542,6977695228,1905693078,821383727,16651270149,2957795190,24838899349,7636769724
2012,160449146458,1346731443,414378313778,7004399287,1853477013,831176242,17840058599,3197146361,26742958694,8254336994
2013,173150584328,1361484925,432602763707,7037551425,1804810125,826775289,18886999678,3397851799,28337236781,8835384492
2014,183048755296,1375799616,453485231643,7082837067,1714649826,798875760,19619801450,3578953924,29145817096,9282724642
2015,193621010941,1387498802,475338837274,7138912186,1590565325,748343958,20199412452,3741292518,29858284481,9544004981
2016,204662420655,1395429164,497254617734,7219533688,1466864450,699471487,20744265362,3905428803,30545942752,9697193252
2017,215323970496,1401493940,520216787932,7327833759,1326159638,648341011,21100536579,4034465255,31216477745,9896466291
2018,223948167953,1409748456,545684307634,7466446065,1217969635,591534223,21427082751,4145162060,31918473524,10177981017
2019,233433228691,1422313441,568064223634,7636057667,1170958645,550682520,21869591543,4260878531,32693672041,10396099299
2020,243820278614,1438127109,592112813298,7833005053,1167654301,529420114,22435358862,4381797935,33641955272,10636417940
2021,251880402236,1458917256,612253568689,8066456978,1193909437,521872813,23141527529,4492083189,34806140918,10973289520
2022,258375591195,1486317398,634623214222,8329176761,1228869515,530893712,23951738998,4595518040,36016889999,11375581321
2023,265117390056,1520231351,658154409360,8619613815,1263170677,547217683,24869121924,4713902498,37178177186,11766486870
2024,272111345244,1562458031,681619183205,8736270056,1295793475,562870551,25875086466,4869271133,38303213633,12135064106
2025,279351884654,1614030052,705661285088,8762788483,1327784699,577789739,26950216103,5047574079,39420803583,12489134285
2026,286853301556,1678268752,731894603839,8953085734,1360271975,591926680,28087610069,5238049609,40571001954,12853535327
2027,294610366037,1757378342,759283730795,9162468761,1393515796,606400751,29281635340,5460686320,41753977963,13228487171
2028,302620743234,1853814324,788396786792,9489480594,1427542295,621219666,30518846028,5702439565,42970708290,13614166490
2029,310879357651,1970059929,819105673108,9931130351,1462378804,636391436,31799707454,5949629400,44222298755,14010801942
2030,319374845540,2108205391,850860068370,10415088623,1498053788,651924390,33130964918,6202240986,45510008558,14418782701
2031,328112548733,2272141892,884214181246,11037982094,1534596750,667827189,34519910753,6460267761,46835215202,14838643458
2032,336894264751,2462949541,917929443045,11751044267,1562779434,682002813,35842848529,6717294595,48017183567,15251787592
2033,345699778940,2682713008,951861969608,12546118067,1584383183,694313335,37105527968,6972624603,49058604025,15627751289
2034,354681256735,2950598750,986046604784,13438908415,1601340994,704646294,38314531193,7225554354,49985621193,15946431897
2035,363059486255,3193087295,1020500941597,14438678606,1615714019,712917592,39477285413,7475377918,50853000175,16223143470
2036,370946676678,3420198365,1055042977194,15517217517,1629664610,719073150,40602071647,7721390775,51735430412,16504656700
2037,379159688289,3713361188,1089188695844,16603035175,1642829837,725074771,41676898332,7959928305,52624156475,16790115567
2038,387484228016,4055617995,1122185481500,17556156419,1655398634,730912054,42713736342,8190074860,53519632688,17078088072
2039,395760863185,4432870666,1155409251170,18562707550,1667571881,736577343,43725610066,8410926457,54423480340,17367675966
2040,404059448058,4851742686,1187489253206,19385701220,1679559829,742065979,44726591585,8621594086,55338729640,17659751247
2041,412033130230,5276326341,1219806662413,20206804905,1691579219,747376407,45731791427,8821206447,56269370849,17956738408
2042,419725008013,5706417812,1250411213401,20698470985,1703378484,752654848,46741981908,9022388140,57216399369,18258796789
2043,427091348760,6132182109,1281548141127,21176209834,1715022341,757898042,47759920387,9225062352,58180062628,18566134246
2044,434100970985,6543814608,1312405281449,21503801182,1726579428,763103664,48788538244,9429159713,59160517532,18878916506
2045,440270895087,6885205454,1343872978196,21809846984,1738121420,768270409,49830935884,9634619063,60157810827,19197166205
2046,445535882723,7138324724,1376421949912,22173747278,1749722051,773398027,50890376966,9841388110,61171915908,19520780770
2047,448178638696,7135732736,1408664068170,22537452624,1755119359,777123976,51863859870,10041501996,62040321325,19832890834
2048,451554896865,7192409677,1439979945606,22815951895,1755692092,779390419,52759299506,10234373110,62768126383,20106349586
2049,454523844533,7196988303,1472855060111,23415993612,1752885911,780159407,53585228414,10419433674,63381404412,20323859830
2050,457415247314,7177589795,1504919758454,24002792503,1748194573,779414328,54350779374,10596139758,63931388428,20500217520
2051,458667149886,6975358334,1538603984420,24972915854,1743139240,777160461,55065663899,10763974995,64486144861,20678105531
2052,460174302848,6768346287,1570792972523,25879182813,1737414543,774756740,55720334572,10921337852,65026609941,20855546784
2053,462204960999,6585974749,1602000282846,26794543009,1731177797,772198485,56326265305,11067707679,65553563906,21029376112
2054,465725308671,6530095787,1632195840869,27711902594,1724591980,769483241,56895485930,11202602601,66070244457,21197613438
2055,469037754777,6442141949,1661355215374,28623334771,1717823615,766610914,57440545260,11325582216,66582815542,21362063923
2056,472262562379,6333795405,1689453540839,29520461875,1711040465,763583807,57974471212,11436249735,67099363140,21527790210
2057,475810202664,6247365981,1716426058635,30394708978,1698324857,759206263,58375294603,11533248879,67563963329,21688972885
2058,480420819103,6261467584,1742365400995,31238205152,1681109944,753451852,58656624951,11616065298,67979006408,21836333095
2059,484698731507,6245549323,1767171197636,32044040091,1660863063,746313773,58832608477,11684230858,68354072626,21964095364
2060,488646924369,6199280287,1790949274776,32806586821,1639066952,737805823,58917884306,11737328052,68707279861,22077590831
2061,493749339556,6271326033,1813710461492,33521641659,1617199576,727962493,58927536022,11774993874,69062312230,22191672765
2062,499435432630,6425765161,1835129150711,34244022679,1594871092,718078372,58873583875,11798850238,69328694992,22296917646
2063,504800144787,6578009801,1855186052899,34971009131,1572266700,708150208,58769889090,11808667462,69510856528,22378370513
2064,509841778578,6727253523,1873863982189,35699140903,1549573928,698177265,58630569908,11804270932,69624826909,22426841895
2065,514559317167,6872674830,1891248522402,36424092669,1526980231,688161412,58469947492,11785542519,69700339598,22451165275
2066,518952442120,7013449552,1907228821113,37140574584,1504670463,678107109,58302490117,11752421314,69775934186,22475515036
2067,523023604547,7148939041,1921836799882,37848428324,1480424729,667682588,58096133814,11715389150,69851707358,22499901269
2068,526773813992,7278352797,1935067172809,38540221091,1454818553,656883981,57855182791,11674365374,69927654093,22524339930
2069,530204757118,7400926560,1946921258307,39207598919,1428431066,645714898,57584025743,11629283573,70003757000,22548840756
2070,533318771900,7515928834,1957408010884,39841642001,1401837861,634186681,57287122211,11580092622,70079984133,22573394202
