Year,Construction_A,Construction_D,Furniture_A,Furniture_D,Newsprint_A,Newsprint_D,Printing_Writing_A,Printing_Writing_D,Other_A,Other_D
2008,114998537627,1279945151,363843301606,6954093406,1672103985,693671633,13451732686,2340886095,19084370656,5794891033
2009,124268452675,1296744215,372471168238,6959626695,1785784296,755028843,14492170769,2543144152,20980798087,6387263265
2010,133803778601,1313627206,384360211127,6964856110,1888379125,795675963,15505286807,2745140705,22906085723,7012265004
2011,147136495625,1330487213,396804990542,6977695228,1905693078,821383727,16651270149,2957795190,24838899349,7636769724
2012,160449146458,1346731443,414378313778,7004399287,1853477013,831176242,17840058599,3197146361,26742958694,8254336994
2013,173150584328,1361484925,432602763707,7037551425,1804810125,826775289,18886999678,3397851799,28337236781,8835384492
2014,183048755296,1375799616,453485231643,7082837067,1714649826,798875760,19619801450,3578953924,29145817096,9282724642
2015,193621010941,1387498802,475338837274,7138912186,1590565325,748343958,20199412452,3741292518,29858284481,9544004981
2016,204662420655,1395429164,497254617734,7219533688,1466864450,699471487,20744265362,3905428803,30545942752,9697193252
2017,215323970496,1401493940,520216787932,7327833759,1326159638,648341011,21100536579,4034465255,31216477745,9896466291
2018,223948167953,1409748456,545684307634,7466446065,1217969635,591534223,21427082751,4145162060,31918473524,10177981017
2019,233433228691,1422313441,568064223634,7636057667,1170801200,550646525,21867961292,4260718386,32690882942,10395808734
2020,243820278614,1438127109,592112813298,7833005053,1167206119,529308298,22430455220,4381295883,33633532703,10635065227
2021,251880402236,1458917256,612253568689,8066456978,1193064804,521641795,23131702690,4491034563,34789541756,10969767036
2022,258365606112,1486317364,634577040511,8329176755,1227687312,530527504,23936701652,4593826810,35992547284,11369210842
2023,265096583586,1520231260,658057425492,8619613795,1261723720,546700930,24848617568,4711466288,37147655798,11757660869
2024,272078838987,1562457843,681466443282,8736269999,1294139132,562226031,25848900440,4865981122,38267813506,12124435317
2025,279306756324,1614029707,705447514957,8762788338,1325953083,577042467,26918176557,5043314899,39381200122,12477190877
2026,286794583126,1678268153,731614181192,8953085385,1358263299,591103572,28049590841,5232699232,40526980274,12840209719
2027,294536176368,1757377343,758928284868,9162467957,1391417170,605520192,29238963180,5454253893,41706318266,13213813557
2028,302529099378,1853812700,787957376628,9489478805,1425424058,620301776,30472879834,5694942964,42920184687,13598347558
2029,310768170460,1970057347,818572752976,9931126504,1460292725,635457843,31751727053,5941276236,44169549825,13994153647
2030,319241915113,2108201361,850223451298,10415080618,1496031467,650997967,33082078256,6193265511,45455377850,14401540071
2031,327955559729,2272135700,883463000716,11037965966,1532648277,666931769,34471029216,6450931822,46778637856,14820785997
2032,336719879984,2462940200,917095180092,11751012796,1561288164,681227004,35799842846,6708239186,47966724043,15234141248
2033,345514881325,2682699128,950977706141,12546058560,1583653642,693750254,37073915964,6964542193,49022168165,15612510601
2034,354492954943,2950578413,985147093275,13438799352,1601593965,704392405,38299436126,7219188881,49969907925,15936682289
2035,362875120599,3193057885,1019622680102,14438484800,1617082709,713071447,39483394519,7471524581,50862233326,16221267693
2036,370773825271,3420156366,1054224291117,15516883499,1632192042,719734084,40633595123,7720895633,51770493210,16510935011
2037,379006200548,3713301951,1088479501460,16602476669,1646630163,726273247,41739422011,7963709199,52687718131,16805019278
2038,387358203991,4055535464,1121638045009,17555250082,1660565624,732679484,42812325954,8199097881,53614341372,17102391762
2039,395670660694,4432757074,1155078309523,18561279575,1674177953,738945795,43864774991,8426204619,54551736548,17402352230
2040,404013690230,4851588238,1187432149025,19383516003,1687655356,745067847,44910250217,8644185815,55502413324,17705624191
2041,412040713486,5276118885,1220083493700,20203555543,1701192155,751044088,45963238359,8852213924,56469657608,18014181293
2042,419796745066,5706142543,1251082910166,20693773940,1714564074,757005746,47024684475,9062440236,57454226652,18328164451
2043,427238392797,6131821318,1282678573117,21169606377,1727828756,762949939,48097202756,9274810681,58456404743,18647746225
2044,434334826106,6543347520,1314061430433,21494768184,1741047445,768874616,49183573685,9489278195,59476420886,18973073206
2045,440603427106,6884608219,1346125107735,21797819157,1754284207,774778631,50286739894,9705803439,60514436283,19304201774
2046,445979330226,7137570594,1379343762287,22158152057,1767605064,780661780,51409801313,9924355422,61570567698,19641109382
2047,448667908762,7134792240,1411946578455,22517757655,1778464487,786003749,52512170386,10142926706,62277218648,19945568113
2048,452024670596,7191251464,1443312391460,22791723876,1787406238,790776767,53597382527,10361293129,62648889182,20156465928
2049,454908578249,7195580162,1475924777745,23386965800,1795005529,794960977,54669268904,10579238120,62747372227,20235501512
2050,457649172881,7175900053,1507411994731,23968937242,1801861572,798545089,55731951046,10796554446,62690787353,20217253364
2051,458684273850,6973357624,1540201638156,24934517579,1808589307,801526672,56789833688,11013045830,62634253506,20199021672
2052,459933303912,6766009770,1571295860040,25840073019,1810505443,803413627,57761415932,11220834468,62837231069,20207836751
2053,461664325734,6583284539,1601184679921,26755885197,1808688192,804165113,58656744585,11419280631,63288332477,20286723900
2054,464843324880,6527043641,1629835100133,27675267983,1804263650,803755763,59486542162,11607772859,63942858820,20462390243
2055,467772502262,6438732064,1657219363650,28590742913,1798391121,802176755,60262181162,11785731988,64716608007,20709998157
2056,470571900936,6330047104,1683278800117,29494394998,1792247050,799436177,60995654150,11952614762,65499720051,20960602282
2057,473661859004,6243316102,1708110562813,30378253513,1787831125,797095248,61718699455,12114783030,66227961765,21207535325
2058,477782304429,6257172201,1731704640579,31234821051,1784754921,795166578,62437981866,12272030708,66903630657,21440096844
2059,481537322233,6241084540,1754057620356,32057438549,1782614863,793657250,63160411617,12424176433,67537309203,21651526823
2060,484929641537,6194741741,1775071983223,32840551656,1780997481,792568466,63893120584,12571064365,68149482990,21847781268
2061,489442928076,6266826741,1794855061708,33579791130,1779485136,791895452,64643437511,12712564623,68767205660,22045814609
2062,494511017127,6421881415,1813059374254,34326557253,1774512904,790431723,65338101320,12850682676,69237008313,22229649493
2063,499224458871,6574897707,1829764547434,35077387033,1766877358,788153755,65980956266,12985154329,69565678790,22373844619
2064,503581708203,6725062569,1844852887327,35827740524,1757403636,785049283,66576119366,13115725911,69779719939,22462614436
2065,507581901465,6871536517,1858310348615,36571818183,1746934719,781117985,67127971087,13242156543,69929013190,22510673052
2066,511224884397,7013463490,1870127695044,37302429787,1736319782,776371662,67641143707,13364220290,70078625852,22558834488
2067,514514091633,7150195621,1880335980731,38016435514,1723807439,771205651,68098996878,13477028951,70227105292,22606947561
2068,517450737627,7280876796,1888935815720,38703760102,1709865068,765610158,68511062464,13580269363,70374526127,22654772548
2069,520036770049,7404656597,1895936862143,39353190600,1694972358,759581848,68887206025,13673664133,70521149189,22702162825
2070,522274863843,7520695881,1901359145959,39952909951,1679615125,753124181,69237592215,13756973557,70667454892,22749261545
