Year,Construction_A,Construction_D,Furniture_A,Furniture_D,Newsprint_A,Newsprint_D,Printing_Writing_A,Printing_Writing_D,Other_A,Other_D
2008,114998537627,1279945151,363843301606,6954093406,1672103985,693671633,13451732686,2340886095,19084370656,5794891033
2009,124268452675,1296744215,372471168238,6959626695,1785784296,755028843,14492170769,2543144152,20980798087,6387263265
2010,133803778601,1313627206,384360211127,6964856110,1888379125,795675963,15505286807,2745140705,22906085723,7012265004
2011,147136495625,1330487213,396804990542,6977695228,1905693078,821383727,16651270149,2957795190,24838899349,7636769724
2012,160449146458,1346731443,414378313778,7004399287,1853477013,831176242,17840058599,3197146361,26742958694,8254336994
2013,173150584328,1361484925,432602763707,7037551425,1804810125,826775289,18886999678,3397851799,28337236781,8835384492
2014,183048755296,1375799616,453485231643,7082837067,1714649826,798875760,19619801450,3578953924,29145817096,9282724642
2015,193621010941,1387498802,475338837274,7138912186,1590565325,748343958,20199412452,3741292518,29858284481,9544004981
2016,204662420655,1395429164,497254617734,7219533688,1466864450,699471487,20744265362,3905428803,30545942752,9697193252
2017,215323970496,1401493940,520216787932,7327833759,1326159638,648341011,21100536579,4034465255,31216477745,9896466291
2018,223948167953,1409748456,545684307634,7466446065,1217969635,591534223,21427082751,4145162060,31918473524,10177981017
2019,233433228691,1422313441,568064223634,7636057667,1171520009,550810857,21875617937,4261470525,32704014006,10397176715
2020,243820278614,1438127109,592112813298,7833005053,1169253251,529819015,22453496871,4383654920,33673199191,10641435156
2021,251880402236,1458917256,612253568689,8066456978,1196924719,522697418,23177891488,4495964146,34867743611,10986358634
2022,258458181881,1486317675,634998814559,8329176806,1235643037,532784606,24037571448,4604741672,36159396107,11404656419
2023,265337376337,1520232268,659161295841,8619614005,1275565714,550866774,25035300845,4732165109,37448366572,11824480097
2024,272527141245,1562460183,683534997184,8736270638,1315248735,568881701,26151939444,4900662859,38742585384,12240031957
2025,280025695321,1614034403,708787159511,8762790047,1355311170,586799947,27367329011,5096594947,40058627278,12655812026
2026,287851312347,1678276827,736556800978,8953089634,1396423536,604600092,28673631058,5309625497,41419373629,13085715675
2027,296003976208,1757392532,765851189658,9162478001,1438816643,622947878,30063113939,5560090513,42827338037,13530326328
2028,304485767295,1853838309,797268994474,9489501612,1482522855,641860434,31521091636,5835401111,44284103500,13990310936
2029,313296240556,1970099296,830714814168,9931176476,1527574994,661355315,33046982551,6121682955,45791178811,14466300374
2030,322428886911,2108268510,865673317012,10415186542,1574006432,681450506,34646607716,6419347766,47349969355,14958751820
2031,331894136322,2272241129,902736143742,11038183448,1621851214,702164430,36326203905,6728831662,48961823131,15467966946
2032,341542173596,2463103077,940879243518,11751445690,1662606781,721554785,37972432557,7042369919,50470514211,15978052765
2033,351358247107,2682947037,979999142832,12546894368,1697821934,739477096,39590537959,7359453719,51877394254,16462617130
2034,361500149948,2950950531,1020173017279,13440365378,1729206132,755808138,41186603313,7679561830,53204192513,16903959818
2035,371194464780,3193609149,1061462765301,14441333507,1758610290,770448888,42767576980,8002163910,54497747879,17314946376
2036,380559363742,3420962834,1103732696772,15521916732,1788004155,783326369,44341295856,8326723697,55822753500,17735925263
2037,390399507912,3714467525,1146527901510,16611118402,1816753191,796159349,45890444084,8649365043,57168309240,18165924199
2038,400505959734,4057200370,1189142701470,17569675570,1845083138,808933656,47426337456,8969239461,58535281146,18603212998
2039,410724772482,4435108187,1233001577201,18584704481,1873238251,821638323,48961468069,9285494787,59926057000,19046728559
2040,421131412099,4854871507,1276783819091,19420542148,1901478373,834265939,50509521173,9597277933,61344880438,19497683390
2041,431384757043,5280654009,1321921921663,20260560761,1930075588,846812852,52085389491,9903737129,62797296274,19959315134
2042,441534427303,5712339988,1366509117698,20779323380,1958095711,859318204,53676466302,10215026280,64283363586,20431799876
2043,451542623339,6140201681,1412842446094,21294853540,1985741126,871769785,55287140763,10531059244,65803902269,20915271529
2044,461384182248,6554563121,1460161908750,21673808408,2013230055,884158269,56922161379,10851758427,67359846349,21409911941
2045,470582213116,6899466673,1509410111124,22047958429,2040793915,896477526,58586636103,11177056247,68952265436,21916052532
2046,479077618939,7157059982,1561109923824,22500061172,2068674293,908724785,60286031140,11506896464,70582330075,22434158529
2047,485045018540,7160107221,1613179687023,22975495429,2086138961,918671065,61845915481,11826630853,71976577149,22935930972
2048,491840241400,7223819921,1664994114108,23392631291,2095457159,926194801,63279076964,12135108758,73141311892,23375472039
2049,498322364182,7237089367,1719029704577,24161451482,2099035052,931207385,64599523784,12431200532,74118220131,23723027087
2050,504820808400,7228321518,1772904854026,24950189502,2099384755,933655985,65822468510,12713804550,74991772581,24002625119
2051,509773014501,7038969698,1829034773898,26158185515,2099089859,933524836,66964304948,12981853759,75875620662,24285518474
2052,515055519573,6847416892,1883979675130,27315031710,2098456220,933316254,68025192997,13235083079,76748885290,24569558188
2053,520935074808,6683432576,1938306172206,28506319077,2097559704,933027454,69022490958,13472536839,77612369065,24851275940
2054,528376029095,6649230217,1991964117626,29727572752,2096479457,932656741,69974590223,13693308715,78469580269,25128484272
2055,535678608686,6586611279,2044906059107,30973495306,2095296872,932203580,70900869573,13896546040,79327265187,25403142577
2056,542960536489,6507628162,2097111737255,32238221716,2094094460,931668624,71821644796,14081453267,80194324735,25680802942
2057,550623506561,6454955490,2148294691104,33514345109,2086461014,929663568,72599806176,14252652435,81010357251,25955194917
2058,559404303925,6507559468,2198402302397,34795798929,2073892674,926148332,73249047384,14409459034,81777618021,26216266028
2059,567903538008,6535221700,2247386092968,36076942307,2057934857,921103839,73783770517,14551233011,82506150029,26457685527
2060,576120147188,6537916639,2296201326729,37352743923,2040162225,914533225,74219044543,14677384070,83215292661,26685090063
2061,585533715018,6664580885,2343806360626,38618800383,2022157003,906462115,74570558206,14787376449,83930530394,26914449147
2062,595397430660,6875799883,2388447184345,39916865849,1998668119,897172244,74741365933,14871489168,84427812814,27122432772
2063,604816978096,7088540672,2431063667536,41243276450,1971095997,886648229,74757675370,14929041749,84717542917,27271949381
2064,613785734365,7302083885,2471597644569,42592886041,1940862076,874893337,74646420612,14959449747,84838881078,27340088104
2065,622297574048,7515654463,2508994202884,43958773732,1909390918,861930257,74435169320,14962230041,84865026792,27348513794
2066,630346920127,7728425986,2544203264669,45331999047,1878091151,847801031,74152024002,14937004957,84891180564,27356942081
2067,637927830200,7939654527,2576227968960,46708919304,1845023559,833381963,73797653575,14897955245,84921559581,27365812307
2068,645035942507,8148427860,2606029387254,48076253912,1810771233,818668969,73386479945,14844969530,84955934784,27375819212
2069,651667568364,8353791501,2633579570602,49418690281,1775919232,803665520,72933058620,14777991891,84993537535,27387385005
2070,657819727958,8554750825,2657863707075,50719448147,1741047385,788382866,72452024153,14697023042,85032964618,27400089556
